German,English
schwanz ,tail
taten ,doings
lord ,lord
dringend ,urgently
commander ,commander
großvater ,grandfather
sommer ,summer
gezeigt ,shown
hinterlassen ,leave behind
gewissen ,conscience
getrunken ,drunk
wahre ,real
luke ,hatch
kunden ,customers
kate ,cottage
zeugen ,testify
geplant ,planned
amanda ,amanda
erreicht ,achieved
stören ,to disturb
stein ,stone
atmen ,to breathe
hose ,trousers
weiße ,white
sprichst ,speak
größer ,greater
schickt ,sends
city ,City
prinz ,prince
behandelt ,treated
tote ,dead
überlegen ,think
karten ,cards
it ,it
d ,d
restaurant ,restaurant
welchem ,wherein
roger ,roger
natur ,nature
carter ,carter
emily ,Emily
mami ,mommy
verschwindet ,disappears
lautet ,reads
streit ,fight
küssen ,kiss
sprich ,speak
längst ,a long time ago
fängt ,catches
drüber ,about it
gingen ,went
erlaubt ,permitted
einzigen ,single
bad ,bath
schmeckt ,tastes
kugel ,bullet
normalerweise ,normally
schwarzen ,black
rauf ,up
flug ,flight
beruhigen ,calm
walter ,walter
halbe ,half
dan ,Dan
geschieht ,happens
einiges ,some
entdeckt ,discovered
morgens ,In the morning
schlechter ,worse
vollkommen ,completely
gelogen ,lied
verfolgt ,tracked
college ,college
weiteren ,more
chris ,chris
louis ,louis
eh ,eh
schwert ,sword
hunde ,dogs
steigen ,rise
verdammter ,fucking
dürfte ,might
riecht ,smells
labor ,laboratory
bat ,asked
tim ,Tim
arthur ,arthur
mindestens ,at least
fisch ,fish
eurem ,your
füße ,feet
stehst ,standing
erschießen ,shoot dead
kuchen ,cakes
versuchte ,tried
zustand ,State
wunsch ,wish
gäste ,Guests
erwähnt ,mentioned
farbe ,colour
van ,van
einigen ,some
zufall ,coincidence
garten ,garden
junger ,younger
autos ,cars
abgesehen ,apart
fair ,fair
vertraut ,trusted
koffer ,suitcase
hieß ,was called
kurs ,course
wirkt ,acts
idioten ,idiot
netter ,nice
seitdem ,since
angegriffen ,attacked
geschichten ,stories
wahnsinnig ,insane
ähnlich ,similar
lily ,lily
aufgeben ,to give up
england ,England
entführt ,kidnapped
ms. ,ms.
mistkerl ,dirty swine
solchen ,such a
ner ,ner
geschossen ,shot
lager ,warehouse
besprechen ,discuss
reihe ,row
polizisten ,police officers
vogel ,bird
legt ,puts
strand ,Beach
amerikaner ,American
schwarz ,black
fern ,remote
fick ,fuck
scherz ,joke
san ,san
erzählte ,told
wichser ,wanker
jake ,jake
langweilig ,boring
womit ,by which
geschäfte ,businesses
my ,my
kapiert ,Got it
nachher ,later
verlangt ,requires
schlägt ,beats
überzeugt ,convinced
irgendjemand ,anyone
rot ,Red
soldat ,soldier
vorbereitet ,prepared
geschah ,happened
reisen ,to travel
termin ,meeting
gang ,corridor
stehlen ,steal
rechte ,right
rache ,revenge
bemerkt ,noticed
frankreich ,France
stört ,disturbs
radio ,radio
beruhige ,calm down
pferde ,horses
vertrag ,contract
arbeitest ,work
dienst ,service
zählt ,counts
fragst ,ask
wesen ,being
bürgermeister ,Mayor
emma ,emma
fluss ,flow
woran ,by which
geblieben ,remained
durcheinander ,mixed up
me ,me
ted ,ted
nette ,nice
test ,test
mister ,mister
dadurch ,through this
direktor ,director
wichtiger ,more important
kevin ,Kevin
scott ,scott
karriere ,Career
akte ,file
erinnerung ,memory
großmutter ,grandmother
erzähle ,tell
lösen ,to solve
bravo ,Bravo
griff ,Handle
verfolgen ,follow
zweifel ,doubt
such ,search
sprache ,language
nerven ,annoy
officer ,officer
andy ,andy
langer ,longer
ziehe ,pull
entlassen ,fire
zweimal ,twice
abholen ,pick up
washington ,Washington
kollegen ,colleagues
doc ,doc
fass ,barrel
szene ,scene
robin ,robin
scheinen ,seem to be
bösen ,bad
schaffe ,create
pflicht ,mandatory
wache ,guard
neulich ,recently
